Jupiter Satellite Measurements - 10-31-2022 11:44

Measurement unit is Jupiter diameters.
East is negative (-).

Julian Date,      Io,  Europa,Ganymede, Callisto
2459883.50000,,,,10.15
2459883.83333,,,,8.95
2459884.50000,,,,6.30
2459884.83333,,,,4.80
2459885.16667,,,,3.25
2459885.50000,,,,1.60
2459885.83333,,,,-0.10
2459886.16667,,,,-1.80
2459886.50000,,,,-3.35
2459886.83333,,,,-5.00
2459887.16667,,,,-6.40
2459887.50000,,,,-7.85
2459887.83333,,,,-9.20
2459888.16667,,,,-10.25
2459888.50000,,,,-11.25
2459888.83333,,,,-12.05
2459889.16667,,,,-12.60
2459889.83333,,,,-13.20
2459890.16667,,,,-13.25
2459890.50000,,,,-13.00
2459890.83333,,,,-12.55
2459891.16667,,,,-11.95
2459891.50000,,,,-11.05
2459892.16667,,,,-9.05
2459892.50000,,,,-7.65
2459892.83333,,,,-6.30
2459893.16667,,,,-4.70
2459893.50000,,,,-3.10
2459893.83333,,,,-1.52
2459894.16667,,,,0.13
2459894.50000,,,,1.75
2459894.83333,,,,3.38
2459895.16667,,,,4.97
2459895.50000,,,,6.47
2459895.83333,,,,7.75
2459896.16667,,,,9.10
2459896.50000,,,,10.15
2459896.83333,,,,11.15
2459897.16667,,,,11.95
2459897.50000,,,,12.45
2459897.83333,,,,12.95
2459898.16667,,,,13.25
2459898.50000,,,,13.00
2459898.83333,,,,12.80
2459899.16667,,,,12.45
2459899.50000,,,,11.85
2459899.83333,,,,10.95
2459900.16667,,,,10.05
2459900.50000,,,,8.90
2459900.83333,,,,7.65
2459901.16667,,,,6.15
2459901.50000,,,,4.75
2459901.83333,,,,3.15
2459902.16667,,,,1.50
2459902.50000,,,,-0.15
2459902.83333,,,,-1.75
2459903.16667,,,,-3.45
2459903.50000,,,,-5.00
2459903.83333,,,,-6.50
2459903.83333,,,,-6.55
2459904.16667,,,,-8.00
2459904.50000,,,,-9.10
2459904.83333,,,,-10.35
2459905.16667,,,,-11.20
2459905.50000,,,,-12.05
2459905.83333,,,,-12.60
2459906.16667,,,,-13.05
2459907.50000,,,,-12.60
2459907.83333,,,,-11.90
2459908.16667,,,,-11.05
2459908.83333,,,,-9.05
2459909.16667,,,,-7.60
2459909.50000,,,,-6.30
2459909.83333,,,,-4.85
2459910.16667,,,,-3.25
2459910.50000,,,,-1.55
2459910.83333,,,,0.10
2459911.16667,,,,1.70
2459911.50000,,,,3.30
2459911.83333,,,,4.90
2459912.50000,,,,7.70
2459912.83333,,,,9.05
2459913.50000,,,,11.10
2459913.83333,,,,11.90
