Jupiter Satellite Measurements - 10-31-2022 11:24

Measurement unit is Jupiter diameters.
East is negative (-).

Julian Date,      Io,  Europa,Ganymede, Callisto
2459883.50000,,4.18,,
2459883.66667,,4.68,,
2459883.83333,,4.63,,
2459884.00000,,4.20,,
2459884.16667,,3.45,,
2459884.83333,,-1.60,,
2459885.00000,,-2.83,,
2459885.16667,,-3.75,,
2459885.33333,,-4.40,,
2459885.50000,,-4.72,,
2459885.66667,,-4.57,,
2459885.83333,,-4.07,,
2459886.00000,,-3.15,,
2459886.16667,,-2.08,,
2459886.33333,,-0.77,,
2459886.50000,,0.70,,
2459886.66667,,2.05,,
2459886.83333,,3.20,,
2459887.00000,,4.05,,
2459887.16667,,4.57,,
2459887.66667,,3.78,,
2459887.83333,,2.78,,
2459888.00000,,1.52,,
2459888.66667,,-3.53,,
2459888.83333,,-4.30,,
2459888.83333,,-4.28,,
2459889.00000,,-4.68,,
2459889.16667,,-4.68,,
2459889.33333,,-4.22,,
2459889.50000,,-3.50,,
2459889.66667,,-2.40,,
2459889.83333,,-1.17,,
2459890.00000,,0.30,,
2459890.16667,,1.63,,
2459890.33333,,2.88,,
2459890.50000,,3.85,,
2459890.66667,,4.43,,
2459890.83333,,4.68,,
2459891.33333,,3.10,,
2459891.50000,,1.95,,
