Jupiter Satellite Measurements - 10-31-2022 10:56

Measurement unit is Jupiter diameters.
East is negative (-).

Julian Date,      Io,  Europa,Ganymede, Callisto
2459883.50000,-2.38,,,
2459883.58333,-1.75,,,
2459883.66667,-1.05,,,
2459883.83333,0.70,,,
2459884.16667,2.92,,,
2459884.50000,1.45,,,
2459884.58333,0.63,,,
2459884.75000,-1.10,,,
2459884.83333,-1.85,,,
2459885.16667,-2.80,,,
2459885.25000,-2.50,,,
2459885.33333,-1.95,,,
2459885.41667,-1.15,,,
2459885.58333,0.57,,,
2459885.91667,2.92,,,
2459886.00000,2.92,,,
2459886.08333,2.70,,,
2459886.16667,2.25,,,
2459886.25000,1.58,,,
2459886.33333,0.88,,,
2459886.50000,-0.85,,,
2459886.58333,-1.65,,,
2459886.66667,-2.30,,,
2459886.75000,-2.75,,,
2459886.83333,-2.97,,,
2459887.16667,-1.35,,,
