Jupiter Satellite Measurements - 10-31-2022 11:31

Measurement unit is Jupiter diameters.
East is negative (-).

Julian Date,      Io,  Europa,Ganymede, Callisto
2459883.50000,,,-4.10,
2459884.00000,,,-6.38,
2459884.50000,,,-7.43,
2459884.75000,,,-7.47,
2459885.00000,,,-7.18,
2459885.25000,,,-6.43,
2459885.50000,,,-5.45,
2459885.75000,,,-4.20,
2459886.00000,,,-2.72,
2459886.25000,,,-1.13,
2459886.50000,,,0.45,
2459886.75000,,,2.13,
2459887.00000,,,3.67,
2459887.25000,,,5.00,
2459887.50000,,,6.05,
2459887.75000,,,6.88,
2459888.00000,,,7.38,
2459888.25000,,,7.47,
2459888.50000,,,7.20,
2459888.75000,,,6.65,
2459889.25000,,,4.57,
2459889.50000,,,3.15,
2459889.75000,,,1.52,
2459890.25000,,,-1.70,
2459890.50000,,,-3.30,
2459890.75000,,,-4.65,
2459891.00000,,,-5.88,
2459891.25000,,,-6.72,
2459891.50000,,,-7.30,
2459891.75000,,,-7.47,
2459892.00000,,,-7.35,
2459892.25000,,,-6.90,
2459892.50000,,,-6.13,
2459892.75000,,,-4.93,
2459893.00000,,,-3.58,
2459893.25000,,,-2.10,
2459893.75000,,,1.15,
2459894.00000,,,2.78,
2459894.25000,,,4.18,
2459894.50000,,,5.45,
2459894.75000,,,6.43,
2459895.00000,,,7.05,
2459895.25000,,,7.40,
2459895.50000,,,7.45,
2459895.75000,,,7.00,
2459896.25000,,,5.25,
2459896.50000,,,3.92,
2459896.75000,,,2.53,
2459897.00000,,,0.93,
2459897.25000,,,-0.70,
2459897.50000,,,-2.38,
