""Time (s) Set",""Position (m) Set",""Velocity (m/s) Set",""Acceleration (m/s²) Set",""Time2 (s) Set",""Position2 (m) Set",""Velocity2 (m/s) Set",""Acceleration2 (m/s²) Set","Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,-5.16E-4,,,0.000,-5.16E-4,,,0.000,3.44E-4,,
0.025,-5.16E-4,0.00,,0.025,-5.16E-4,0.00,,0.025,3.44E-4,2.99E-4,
0.050,-5.16E-4,0.00,0.04,0.050,-5.16E-4,0.00,0.04,0.050,3.59E-4,0.00,-0.10
0.075,-5.31E-4,0.00,0.05,0.075,-5.31E-4,0.00,0.05,0.075,1.87E-4,0.00,-0.01
0.100,-3.44E-4,0.00,0.04,0.100,-3.44E-4,0.00,0.04,0.100,0.00,0.00,0.05
0.125,-3.59E-4,0.00,0.02,0.125,-3.59E-4,0.00,0.02,0.125,0.00,0.00,0.08
0.150,-1.87E-4,0.00,-0.03,0.150,-1.87E-4,0.00,-0.03,0.150,0.00,9.47E-4,0.09
0.175,0.00,0.00,-0.08,0.175,0.00,0.00,-0.08,0.175,-1.50E-5,0.00,0.06
0.200,0.00,1.98E-4,-0.09,0.200,0.00,1.98E-4,-0.09,0.200,1.57E-4,0.00,0.03
0.225,1.49E-5,0.00,-0.07,0.225,1.49E-5,0.00,-0.07,0.225,3.44E-4,0.00,-0.01
0.250,-1.72E-4,0.00,-0.03,0.250,-1.72E-4,0.00,-0.03,0.250,3.29E-4,0.00,-0.04
0.275,-1.57E-4,0.00,-0.03,0.275,-1.57E-4,0.00,-0.03,0.275,5.16E-4,0.00,-0.05
0.300,-3.44E-4,0.00,-0.08,0.300,-3.44E-4,0.00,-0.08,0.300,5.16E-4,0.00,-0.05
0.325,-3.29E-4,-0.01,-0.15,0.325,-3.29E-4,-0.01,-0.15,0.325,5.16E-4,9.96E-5,-0.05
0.350,-4.71E-4,-0.01,-0.13,0.350,-4.71E-4,-0.01,-0.13,0.350,5.16E-4,0.00,-0.03
0.375,-9.87E-4,-0.02,0.02,0.375,-9.87E-4,-0.02,0.02,0.375,5.31E-4,0.00,0.01
0.400,0.00,-0.01,0.16,0.400,0.00,-0.01,0.16,0.400,3.44E-4,0.00,0.06
0.425,0.00,0.00,0.06,0.425,0.00,0.00,0.06,0.425,3.29E-4,0.00,-0.05
0.450,0.00,0.00,-0.39,0.450,0.00,0.00,-0.39,0.450,5.01E-4,0.00,-0.45
0.475,0.00,-0.02,-1.07,0.475,0.00,-0.02,-1.07,0.475,7.33E-4,-0.01,-1.10
0.500,0.00,-0.06,-1.72,0.500,0.00,-0.06,-1.72,0.500,3.51E-4,-0.05,-1.78
0.525,0.00,-0.11,-2.15,0.525,0.00,-0.11,-2.15,0.525,0.00,-0.11,-2.23
0.550,-0.01,-0.17,-2.33,0.550,-0.01,-0.17,-2.33,0.550,-0.01,-0.17,-2.40
0.575,-0.01,-0.23,-2.36,0.575,-0.01,-0.23,-2.36,0.575,-0.01,-0.23,-2.41
0.600,-0.02,-0.29,-2.37,0.600,-0.02,-0.29,-2.37,0.600,-0.02,-0.29,-2.39
0.625,-0.03,-0.35,-2.38,0.625,-0.03,-0.35,-2.38,0.625,-0.02,-0.35,-2.37
0.650,-0.04,-0.41,-2.39,0.650,-0.04,-0.41,-2.39,0.650,-0.03,-0.41,-2.35
0.675,-0.05,-0.47,-2.38,0.675,-0.05,-0.47,-2.38,0.675,-0.05,-0.47,-2.34
0.700,-0.06,-0.53,-2.39,0.700,-0.06,-0.53,-2.39,0.700,-0.06,-0.53,-2.35
0.725,-0.07,-0.58,-2.42,0.725,-0.07,-0.58,-2.42,0.725,-0.07,-0.58,-2.36
0.750,-0.09,-0.65,-2.43,0.750,-0.09,-0.65,-2.43,0.750,-0.09,-0.64,-2.38
0.775,-0.11,-0.71,-2.41,0.775,-0.11,-0.71,-2.41,0.775,-0.10,-0.70,-2.40
0.800,-0.12,-0.77,-2.36,0.800,-0.12,-0.77,-2.36,0.800,-0.12,-0.76,-2.42
0.825,-0.14,-0.83,-2.37,0.825,-0.14,-0.83,-2.37,0.825,-0.14,-0.83,-2.43
0.850,-0.17,-0.88,-2.17,0.850,-0.17,-0.88,-2.17,0.850,-0.16,-0.89,-2.14
0.875,-0.19,-0.95,-0.62,0.875,-0.19,-0.95,-0.62,0.875,-0.19,-0.95,-0.48
0.900,-0.21,-0.97,3.59,0.900,-0.21,-0.97,3.59,0.900,-0.21,-0.96,3.81
0.925,-0.24,-0.83,10.08,0.925,-0.24,-0.83,10.08,0.925,-0.24,-0.82,10.33
0.950,-0.26,-0.46,15.71,0.950,-0.26,-0.46,15.71,0.950,-0.26,-0.44,15.97
0.975,-0.27,0.05,16.82,0.975,-0.27,0.05,16.82,0.975,-0.26,0.08,17.04
1.000,-0.26,0.50,12.74,1.000,-0.26,0.50,12.74,1.000,-0.25,0.53,12.87
1.025,-0.24,0.73,6.36,1.025,-0.24,0.73,6.36,1.025,-0.23,0.76,6.38
1.050,-0.22,0.77,1.21,1.050,-0.22,0.77,1.21,1.050,-0.21,0.81,1.16
1.075,-0.20,0.73,-1.43,1.075,-0.20,0.73,-1.43,1.075,-0.19,0.76,-1.49
